Name,UserId,Social Account,Gender,Score,Comments count,Followers,Followings,Posts count
HongVanPhong,610a9d922b274ba68b87e851,https://www.facebook.com/phong.hv,male,10,9,0,0,3
verydarkkk,60ebe6703583b555c24da186,,female,696,0,106,5,20
Enola____,6430efaebec98419a33c6941,,male,8,4,7,0,1
FirstOptionVN,650875f023c462d26d3bdd86,,male,68,0,17,0,109
sekai194,63914d57f49ab572676644c8,,male,7,2,1,0,1
khuyettinh,62fb31c10668a9fb68112cd4,,male,3,0,0,0,1
cuminh1605,65e429e3da477fce1eba79b4,,unspecified,7,0,0,0,3
Chung6btn,6551984b543d9df59c024af6,,male,4,0,0,0,1
Jennie_le,6522db0b4e1c1b0675229ed7,,female,11,1,0,0,2
howaboutginny,6426846af9d1e4e6cce9e340,,female,6,1,2,0,1
Quang56,63a27bbe525ef24321b55c2f,,unspecified,24,4,23,0,7
northdious,60ebe62d3583b555c24d440e,,unspecified,202,0,0,0,18
jademai04,63a09e35fe2dd120e8457f8d,,male,14,6,2,4,3
nymphlvot1914211101,60ebe6ee3583b555c24e5385,,male,186,59,19,6,29
thanhphu2211,64ca12a55144604269f4640f,,male,0,0,0,0,1
thegioibinhthuong,630845fa0668a9fb68113ab0,https://www.instagram.com/thegioibinhthuong/,female,215,0,0,0,32
hieunm711,60ebe65f3583b555c24d89f3,,male,716,0,109,0,57
Bitterann,60ebe6f33583b555c24e5bb1,,female,30,26,0,2,5
chloechau94,64424342c60cf5aaa3912f4a,,female,216,8,98,2,8
samurice,60ebe6273583b555c24d3b2e,https://www.facebook.com/datnguyen.dec3,male,6477,2186,12209,112,263
trngtrwng,6539d388e1565cb90a80f772,,male,6,1,0,6,2
Tuanluck23,60f1c49d4aab1696372ad857,,male,30,0,0,37,9
hoaxuyenchi,64eb7ee172e74fcb3ab0469e,,male,20,4,2,2,5
garenpc2003,64d055075144604269f468da,,male,5,0,0,0,1
naunong,6476a4e82355c5caa757dce7,,male,12,2,0,0,3
Thichquangtuvm_123,6357d8a11a44df6c9e30d021,,male,36,5,11,3,26
baotrungtran0,6595389613deb5e10fc37cf8,2024trung,male,9,3,2,0,5
thedoublelifeof_Kiki123,631081d78725e81bc016f3c5,,female,1,0,0,3,1
nguyenpc47,63da11c5ac6ce8aebd3d8375,,male,13,6,0,0,10
ROSV75,657bd06c13deb5e10fc36bfe,,unspecified,8,4,0,1,1
Mich18,61c5e60247f5fe4413883476,,male,11,8,2,0,4
sgreader2241996,62c19d41e4b8dd7425e493c2,,male,12,0,0,1,9
chau256,62cef0edd2e114bfa045ff8f,,male,4,1,0,3,1
astaonthemic,6558abc7b74dc1430920d450,https://www.instagram.com/thanhtiuuu/,male,7,3,1,1,3
Hanayiyana,60ebe68e3583b555c24dcc60,,female,12,0,0,0,1
thanhdat15823101,62bb11c73681267070573ab1,,unspecified,3,0,0,2,1
sn9800,64a588da090ad4ab6d53db7c,sonnguyen9800.com,male,25,7,3,1,9
thehavenblog,634e52c5c09e46f8dbbc382e,https://www.youtube.com/channel/UCaQZ1dQH6ukbQRYlLxzKKtg,other,348,21,134,1,18
Taxufa,62597f527ed7490dd99022b9,,male,41,22,5,5,12
congvinh1,6541bd005bd5b7cd03789731,,unspecified,36,3,4,0,1
khoaanguyen,6573399db74dc1430920e551,,unspecified,2,1,2,0,1
Orizardbl,6508074b23c462d26d3bdcf9,,male,3,0,0,0,2
quynhizickeddy,65af680567e2b8882b603ce9,https://www.facebook.com/xuongbienrakhoinao,female,4,1,0,0,1
maitoan1802,6249e6630fac15a9f4e52cd7,,male,16,7,0,1,1
tunglamphandam,66014d2ada477fce1eba98aa,,unspecified,3,1,0,1,1
vuhanhtam,651145234e1c1b067522919b,https://www.facebook.com/vuhanhtam,female,15,2,0,0,5
Emma24,60ebe6503583b555c24d7456,,female,130,0,0,1,4
Motnguoidep,60ebe6f13583b555c24e57f7,,female,1641,0,838,8,20
ashleytran,645660a505940a6f2659931a,,unspecified,16,5,3,0,1
viettr4n,60ebe68b3583b555c24dc7c8,,male,27,10,7,40,5
Gerard,60ebe6493583b555c24d6ac3,,male,2836,365,2425,1,59
linhtrucduong,60ebe6303583b555c24d47c8,,female,11,0,0,0,1
Icebearrrr,63ed1198ed82d1a72da37e6d,,female,41,34,10,12,1
Subintruong,64d9b4ba5144604269f470b2,https://www.facebook.com/tuongvan.truong.812,female,23,2,5,0,11
phamdinhan,642d84100564add6edf1450c,,male,12,7,0,1,4
JobChen,61067e892b274ba68b87e055,,male,45,14,2,0,91
2worldvietnam,62e74c9e0668a9fb68111886,https://www.facebook.com/secondworldvietnam,male,9,0,7,0,6
thesunsetisbeautiful,61436f35e8b89c7af2ffb638,https://www.threads.net/@lam.dev.dau.lung,male,173,29,0,0,5
nguyenngocxuanquynh2022,63213a6b0c1ff20d46987c64,,female,3,0,0,0,3
dandelamsol,63215fdb7182b212746caec7,,female,41,2,9,4,17
Phunghuymanhquan,65bbbbbf67e2b8882b604531,,male,11,8,2,6,1
thienbaotvb,644896640f3fbb20914508da,https://www.instagram.com/peterntb/,male,4,0,1,0,3
gianghi131,6276497a73c1dc4950015332,,female,23,2,2,22,3
kaitokid14121998,60ebe6a33583b555c24dea47,,male,195,29,40,12,21
dquynh,65715ee0b74dc1430920e412,,unspecified,4,0,1,0,1
